spectral_set,run_frames,run_duration_sec,partition_id,ob,dataset
low,1,0.0099999999999997,eig2,2,Ob2.txt
high,3,0.0299999999999991,eig2,2,Ob2.txt
low,9,0.0899999999999973,eig2,2,Ob2.txt
high,2,0.0199999999999994,eig2,2,Ob2.txt
low,7,0.0699999999999979,eig2,2,Ob2.txt
high,2,0.0199999999999994,eig2,2,Ob2.txt
low,25,0.2499999999999925,eig2,2,Ob2.txt
high,21,0.2099999999999937,eig2,2,Ob2.txt
low,3,0.0299999999999991,eig2,2,Ob2.txt
high,1,0.0099999999999997,eig2,2,Ob2.txt
low,1186,11.859999999999644,eig2,2,Ob2.txt
high,6,0.0599999999999982,eig2,2,Ob2.txt
low,16,0.1599999999999952,eig2,2,Ob2.txt
high,4,0.0399999999999988,eig2,2,Ob2.txt
low,27,0.2699999999999919,eig2,2,Ob2.txt
high,5,0.049999999999998504,eig2,2,Ob2.txt
low,3,0.0299999999999991,eig2,2,Ob2.txt
high,3,0.0299999999999991,eig2,2,Ob2.txt
low,8,0.0799999999999976,eig2,2,Ob2.txt
high,6,0.0599999999999982,eig2,2,Ob2.txt
low,104,1.0399999999999687,eig2,2,Ob2.txt
high,123,1.2299999999999631,eig2,2,Ob2.txt
low,30,0.299999999999991,eig2,2,Ob2.txt
high,42,0.4199999999999874,eig2,2,Ob2.txt
low,41,0.4099999999999877,eig2,2,Ob2.txt
high,1,0.0099999999999997,eig2,2,Ob2.txt
low,10,0.09999999999999701,eig2,2,Ob2.txt
high,48,0.4799999999999856,eig2,2,Ob2.txt
low,147,1.469999999999956,eig2,2,Ob2.txt
high,137,1.3699999999999588,eig2,2,Ob2.txt
low,154,1.5399999999999539,eig2,2,Ob2.txt
high,110,1.099999999999967,eig2,2,Ob2.txt
low,5,0.049999999999998504,eig2,2,Ob2.txt
high,3,0.0299999999999991,eig2,2,Ob2.txt
low,31,0.3099999999999907,eig2,2,Ob2.txt
high,4,0.0399999999999988,eig2,2,Ob2.txt
low,2,0.0199999999999994,eig2,2,Ob2.txt
high,53,0.5299999999999842,eig2,2,Ob2.txt
low,48,0.4799999999999856,eig2,2,Ob2.txt
high,2,0.0199999999999994,eig2,2,Ob2.txt
low,7,0.0699999999999979,eig2,2,Ob2.txt
high,88,0.8799999999999736,eig2,2,Ob2.txt
low,53,0.5299999999999842,eig2,2,Ob2.txt
high,2,0.0199999999999994,eig2,2,Ob2.txt
low,14,0.1399999999999958,eig2,2,Ob2.txt
high,3,0.0299999999999991,eig2,2,Ob2.txt
low,28,0.2799999999999916,eig2,2,Ob2.txt
high,3,0.0299999999999991,eig2,2,Ob2.txt
low,30,0.299999999999991,eig2,2,Ob2.txt
high,64,0.6399999999999808,eig2,2,Ob2.txt
low,42,0.4199999999999874,eig2,2,Ob2.txt
high,2,0.0199999999999994,eig2,2,Ob2.txt
low,3,0.0299999999999991,eig2,2,Ob2.txt
high,11,0.1099999999999967,eig2,2,Ob2.txt
low,17,0.1699999999999949,eig2,2,Ob2.txt
high,1,0.0099999999999997,eig2,2,Ob2.txt
low,74,0.7399999999999778,eig2,2,Ob2.txt
